Country,Region,Rank,Score,Latitude,Longitud,DispRegion,DispRegion2
Honduras,Latin America and Caribbean,104,4.871,15.1999,-86.2419,Americas,2
Hong Kong,Eastern Asia,75,5.458,22.3964,114.1094,Asia,3
Hungary,Central and Eastern Europe,91,5.145,47.1624,19.5033,Europe,4
Iceland,Western Europe,3,7.501,64.963,-19.0208,Europe,4
India,Southern Asia,118,4.404,20.5936,78.9628,Asia,3
Indonesia,Southeastern Asia,79,5.314,-0.7892,113.9513,Asia,3
Iran,Middle East and Northern Africa,105,4.813,32.4279,53.688,Africa,1
Iraq,Middle East and Northern Africa,112,4.575,33.2231,43.6729,Africa,1
Ireland,Western Europe,19,6.907,53.1423,-7.692,Europe,4
Israel,Middle East and Northern Africa,11,7.267,31.046,34.8516,Africa,1
Italy,Western Europe,50,5.977,41.8719,12.5673,Europe,4
Ivory Coast,Sub-Saharan Africa,139,3.916,7.5399,-5.547,Africa,1
Jamaica,Latin America and Caribbean,73,5.51,18.1095,-77.2975,Americas,2
Japan,Eastern Asia,53,5.921,36.2048,138.2529,Asia,3
Jordan,Middle East and Northern Africa,80,5.303,31.0101,36.43,Africa,1
Kazakhstan,Central and Eastern Europe,54,5.919,48.0195,66.9236,Europe,4
Kenya,Sub-Saharan Africa,122,4.356,-0.0235,37.9061,Africa,1
Kosovo,Central and Eastern Europe,77,5.401,42.6026,20.9029,Europe,4
Kuwait,Middle East and Northern Africa,41,6.239,29.3116,47.4817,Africa,1
Kyrgyzstan,Central and Eastern Europe,85,5.185,41.2043,74.766,Europe,4
Laos,Southeastern Asia,102,4.876,36.1075,120.4688,Asia,3
Latvia,Central and Eastern Europe,68,5.56,56.8796,24.6031,Europe,4
Lebanon,Middle East and Northern Africa,93,5.129,33.8547,35.8622,Africa,1
Liberia,Sub-Saharan Africa,150,3.622,6.428,-9.4294,Africa,1
Libya,Middle East and Northern Africa,67,5.615,26.3351,17.2283,Africa,1
Lithuania,Central and Eastern Europe,60,5.813,55.1694,23.8812,Europe,4
Luxembourg,Western Europe,20,6.871,49.8152,6.1295,Europe,4
Macedonia,Central and Eastern Europe,95,5.121,41.6086,21.7452,Europe,4
Madagascar,Sub-Saharan Africa,148,3.695,-18.7669,46.8691,Africa,1
Malawi,Sub-Saharan Africa,132,4.156,-13.2543,34.3015,Africa,1
Malaysia,Southeastern Asia,47,6.005,4.2104,101.9757,Asia,3
Mali,Sub-Saharan Africa,135,4.073,17.5706,-3.9961,Africa,1
Malta,Western Europe,30,6.488,35.9374,14.3754,Europe,4
Mauritania,Sub-Saharan Africa,130,4.201,21.0078,-10.9408,Africa,1
Mauritius,Sub-Saharan Africa,66,5.648,-20.3484,57.5521,Africa,1
Mexico,Latin America and Caribbean,21,6.778,23.6345,-102.5527,Americas,2
Moldova,Central and Eastern Europe,55,5.897,47.4116,28.3698,Europe,4
Mongolia,Eastern Asia,101,4.907,46.8624,103.8466,Asia,3
Montenegro,Central and Eastern Europe,88,5.161,42.7086,19.3743,Europe,4
Morocco,Middle East and Northern Africa,90,5.151,31.7917,-7.0926,Africa,1
Myanmar,Southeastern Asia,119,4.395,21.9162,95.9559,Asia,3
Namibia,Sub-Saharan Africa,113,4.574,-22.9576,18.4904,Africa,1
Nepal,Southern Asia,107,4.793,28.3948,84.124,Asia,3
Netherlands,Western Europe,7,7.339,52.1326,5.2912,Europe,4
New Zealand,Australia and New Zealand,8,7.334,-41.7523,173.438,Asia,3
Nicaragua,Latin America and Caribbean,48,5.992,12.8654,-85.2072,Americas,2
Niger,Sub-Saharan Africa,142,3.856,17.6077,8.0816,Africa,1
Nigeria,Sub-Saharan Africa,103,4.875,9.0819,8.6752,Africa,1
North Cyprus,Western Europe,62,5.771,35.248,33.6577,Europe,4
Norway,Western Europe,4,7.498,59.9138,10.7522,Europe,4
Pakistan,Southern Asia,92,5.132,30.3753,69.3451,Asia,3
Palestinian Territories,Middle East and Northern Africa,108,4.754,31.9521,35.2331,Africa,1
Panama,Latin America and Caribbean,25,6.701,8.5379,-80.7821,Americas,2
Paraguay,Latin America and Caribbean,70,5.538,-23.4425,-58.4438,Americas,2
Peru,Latin America and Caribbean,64,5.743,-9.1899,-75.0151,Americas,2
Philippines,Southeastern Asia,82,5.279,14.5995,120.984,Asia,3
Poland,Central and Eastern Europe,57,5.835,51.9194,19.1451,Europe,4
Portugal,Western Europe,94,5.123,39.3998,-8.2244,Europe,4
Puerto Rico,Latin America and Caribbean,15,7.039,18.1984,-66.2497,Americas,2
Qatar,Middle East and Northern Africa,36,6.375,25.3648,51.1838,Africa,1
Romania,Central and Eastern Europe,71,5.528,45.9431,24.9667,Europe,4
Russia,Central and Eastern Europe,56,5.856,61.524,105.3187,Europe,4
Rwanda,Sub-Saharan Africa,152,3.515,-1.9402,29.8738,Africa,1
Saudi Arabia,Middle East and Northern Africa,34,6.379,23.8859,45.0791,Africa,1
Senegal,Sub-Saharan Africa,128,4.219,14.4974,-14.4523,Africa,1
Serbia,Central and Eastern Europe,86,5.177,44.0165,21.0058,Europe,4
Sierra Leone,Sub-Saharan Africa,111,4.635,8.4605,-11.7798,Africa,1
Singapore,Southeastern Asia,22,6.739,1.352,103.8198,Asia,3
Slovakia,Central and Eastern Europe,45,6.078,48.669,19.699,Europe,4
Slovenia,Central and Eastern Europe,63,5.768,46.1512,14.9954,Europe,4
Somalia,Sub-Saharan Africa,76,5.44,5.1521,46.1996,Africa,1
Somaliland Region,Sub-Saharan Africa,97,5.057,5.7863,47.3258,Africa,1
South Africa,Sub-Saharan Africa,116,4.459,-30.5594,22.9375,Africa,1
South Korea,Eastern Asia,57,5.835,35.9077,127.7669,Asia,3
South Sudan,Sub-Saharan Africa,143,3.832,6.8769,31.3069,Africa,1
Spain,Western Europe,37,6.361,40.4636,-3.7492,Europe,4
Sri Lanka,Southern Asia,117,4.415,7.873,80.7717,Asia,3
Sudan,Sub-Saharan Africa,133,4.139,12.8628,30.2176,Africa,1
Suriname,Latin America and Caribbean,40,6.269,3.1993,-56.0277,Americas,2
Sweden,Western Europe,10,7.291,60.1281,18.6435,Europe,4
Switzerland,Western Europe,2,7.509,46.8181,8.2275,Europe,4
Syria,Middle East and Northern Africa,156,3.069,34.802,38.9968,Africa,1
Taiwan,Eastern Asia,34,6.379,23.6978,120.9605,Asia,3
Tajikistan,Central and Eastern Europe,100,4.996,38.861,71.276,Europe,4
Tanzania,Sub-Saharan Africa,149,3.666,-6.369,34.8888,Africa,1
Thailand,Southeastern Asia,33,6.474,15.87,100.9925,Asia,3
Togo,Sub-Saharan Africa,155,3.303,8.6195,0.8247,Africa,1
Trinidad and Tobago,Latin America and Caribbean,43,6.168,10.6918,-61.2225,Americas,2
Tunisia,Middle East and Northern Africa,98,5.045,33.8869,9.5374,Africa,1
Turkey,Middle East and Northern Africa,78,5.389,38.9637,35.2433,Africa,1
Turkmenistan,Central and Eastern Europe,65,5.658,38.9697,59.5562,Europe,4
Uganda,Sub-Saharan Africa,145,3.739,1.3733,32.2902,Africa,1
Ukraine,Central and Eastern Europe,123,4.324,48.3794,31.1655,Europe,4
United Arab Emirates,Middle East and Northern Africa,28,6.573,23.424,53.8478,Africa,1
United Kingdom,Western Europe,23,6.725,55.378,-9.4359,Europe,4
United States,North America,13,7.104,37.0902,-95.7128,Americas,2
Uruguay,Latin America and Caribbean,29,6.545,-32.5227,-55.7658,Americas,2
Uzbekistan,Central and Eastern Europe,49,5.987,41.3774,64.5852,Europe,4
Venezuela,Latin America and Caribbean,44,6.084,6.4237,-66.5897,Americas,2
Vietnam,Southeastern Asia,96,5.061,14.0583,108.2771,Asia,3
Yemen,Middle East and Northern Africa,147,3.724,15.5527,48.5163,Africa,1
Zambia,Sub-Saharan Africa,106,4.795,-13.1338,27.8493,Africa,1
Zimbabwe,Sub-Saharan Africa,131,4.193,-19.0154,29.1548,Africa,1
