Country,Region,Rank,Score,Latitude,Longitud,DispRegion,DispRegion2
Afghanistan,Southern Asia,154,3.36,33.9391,67.7099,Asia,3
Albania,Central and Eastern Europe,109,4.655,41.1533,20.1683,Europe,4
Algeria,Middle East and Northern Africa,38,6.355,28.0338,1.6596,Africa,1
Angola,Sub-Saharan Africa,141,3.866,-11.2026,17.8738,Africa,1
Argentina,Latin America and Caribbean,26,6.65,-38.416,-63.6166,Americas,2
Armenia,Central and Eastern Europe,121,4.36,40.069,45.0381,Europe,4
Australia,Australia and New Zealand,9,7.313,-25.2743,133.7751,Asia,3
Austria,Western Europe,12,7.119,47.5162,14.55,Europe,4
Azerbaijan,Central and Eastern Europe,81,5.291,40.1431,47.5769,Europe,4
Bahrain,Middle East and Northern Africa,42,6.218,26.0667,50.5577,Africa,1
Bangladesh,Southern Asia,110,4.643,23.6849,90.3563,Asia,3
Belarus,Central and Eastern Europe,61,5.802,53.7098,27.9533,Europe,4
Belgium,Western Europe,18,6.929,50.5038,4.4699,Europe,4
Belize,Latin America and Caribbean,52,5.956,17.1898,-88.4976,Americas,2
Benin,Sub-Saharan Africa,153,3.484,9.3076,2.3158,Africa,1
Bhutan,Southern Asia,84,5.196,27.5141,90.4336,Asia,3
Bolivia,Latin America and Caribbean,59,5.822,-16.2901,-63.5886,Americas,2
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,43.9158,17.679,Europe,4
Botswana,Sub-Saharan Africa,137,3.974,-22.3284,24.6848,Africa,1
Brazil,Latin America and Caribbean,17,6.952,-14.235,-51.9252,Americas,2
Bulgaria,Central and Eastern Europe,129,4.217,42.7338,25.4858,Europe,4
Burkina Faso,Sub-Saharan Africa,145,3.739,12.2383,-1.5615,Africa,1
Burundi,Sub-Saharan Africa,157,2.905,-3.373,29.9188,Africa,1
Cambodia,Southeastern Asia,140,3.907,12.5656,104.9909,Asia,3
Cameroon,Sub-Saharan Africa,114,4.513,7.3697,12.3547,Africa,1
Canada,North America,6,7.404,56.1303,-106.346,Americas,2
Chad,Sub-Saharan Africa,144,3.763,15.3611,18.6644,Africa,1
Chile,Latin America and Caribbean,24,6.705,-35.6751,-71.5429,Americas,2
China,Eastern Asia,83,5.245,35.8616,104.1953,Asia,3
Colombia,Latin America and Caribbean,31,6.481,4.5708,-74.2973,Americas,2
Comoros,Sub-Saharan Africa,138,3.956,-12.2125,44.3718,Africa,1
Congo (Brazzaville),Sub-Saharan Africa,127,4.236,-0.228,15.8276,Africa,1
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,-4.0383,21.7586,Africa,1
Costa Rica,Latin America and Caribbean,14,7.087,9.7489,-83.7534,Americas,2
Croatia,Central and Eastern Europe,74,5.488,45.1,15.2,Europe,4
Cyprus,Western Europe,69,5.546,34.7713,33.0864,Europe,4
Czech Republic,Central and Eastern Europe,27,6.596,49.8174,15.4729,Europe,4
Denmark,Western Europe,1,7.526,56.2639,9.5017,Europe,4
Dominican Republic,Latin America and Caribbean,89,5.155,18.7356,-70.1626,Americas,2
Ecuador,Latin America and Caribbean,51,5.976,-1.8312,-78.183,Americas,2
Egypt,Middle East and Northern Africa,120,4.362,26.8205,30.8024,Africa,1
El Salvador,Latin America and Caribbean,46,6.068,13.7941,-88.8965,Americas,2
Estonia,Central and Eastern Europe,72,5.517,58.5952,25.0136,Europe,4
Ethiopia,Sub-Saharan Africa,115,4.508,9.145,40.4896,Africa,1
Finland,Western Europe,5,7.413,61.9241,25.7481,Europe,4
France,Western Europe,32,6.478,46.2276,2.2137,Europe,4
Gabon,Sub-Saharan Africa,134,4.121,-0.8036,11.6094,Africa,1
Georgia,Central and Eastern Europe,126,4.252,32.1656,-82.9007,Europe,4
Germany,Western Europe,16,6.994,51.1656,10.4515,Europe,4
Ghana,Sub-Saharan Africa,124,4.276,7.9465,-1.0231,Africa,1
Greece,Western Europe,99,5.033,39.0742,21.8243,Europe,4
Guatemala,Latin America and Caribbean,39,6.324,15.7834,-90.2307,Americas,2
Guinea,Sub-Saharan Africa,151,3.607,9.9455,-9.6966,Africa,1
Haiti,Latin America and Caribbean,136,4.028,18.971187,-72.2852,Americas,2
