Country,Region,Rank,Score,Latitude,Longitud
Sri Lanka,Southern Asia,132,4.271,7.873,80.7717
Sudan,Sub-Saharan Africa,118,4.55,12.8628,30.2176
Suriname,Latin America and Caribbean,40,6.269,3.1993,-56.0277
Swaziland,Sub-Saharan Africa,101,4.867,-26.5225,31.4658
Sweden,Western Europe,8,7.364,60.1281,18.6435
Switzerland,Western Europe,1,7.587,46.8181,8.2275
Syria,Middle East and Northern Africa,156,3.006,34.802,38.9968
Taiwan,Eastern Asia,38,6.298,23.6978,120.9605
Tajikistan,Central and Eastern Europe,106,4.786,38.861,71.276
Tanzania,Sub-Saharan Africa,146,3.781,-6.369,34.8888
Thailand,Southeastern Asia,34,6.455,15.87,100.9925
Togo,Sub-Saharan Africa,158,2.839,8.6195,0.8247
Trinidad and Tobago,Latin America and Caribbean,41,6.168,10.6918,-61.2225
Tunisia,Middle East and Northern Africa,107,4.739,33.8869,9.5374
Turkey,Middle East and Northern Africa,76,5.332,38.9637,35.2433
Turkmenistan,Central and Eastern Europe,70,5.548,38.9697,59.5562
Uganda,Sub-Saharan Africa,141,3.931,1.3733,32.2902
Ukraine,Central and Eastern Europe,111,4.681,48.3794,31.1655
United Arab Emirates,Middle East and Northern Africa,20,6.901,23.424,53.8478
United Kingdom,Western Europe,21,6.867,55.378,-9.4359
United States,North America,15,7.119,37.0902,-95.7128
Uruguay,Latin America and Caribbean,32,6.485,-32.5227,-55.7658
Uzbekistan,Central and Eastern Europe,44,6.003,41.3774,64.5852
Venezuela,Latin America and Caribbean,23,6.81,6.4237,-66.5897
Vietnam,Southeastern Asia,75,5.36,14.0583,108.2771
Yemen,Middle East and Northern Africa,136,4.077,15.5527,48.5163
Zambia,Sub-Saharan Africa,85,5.129,-13.1338,27.8493
Zimbabwe,Sub-Saharan Africa,115,4.61,-19.0154,29.1548
