Country,Region,Rank,Score,Latitude,Longitud
Afghanistan,Southern Asia,154,3.36,33.9391,67.7099
Albania,Central and Eastern Europe,109,4.655,41.1533,20.1683
Algeria,Middle East and Northern Africa,38,6.355,28.0338,1.6596
Angola,Sub-Saharan Africa,141,3.866,-11.2026,17.8738
Argentina,Latin America and Caribbean,26,6.65,-38.416,-63.6166
Armenia,Central and Eastern Europe,121,4.36,40.069,45.0381
Australia,Australia and New Zealand,9,7.313,-25.2743,133.7751
Austria,Western Europe,12,7.119,47.5162,14.55
Azerbaijan,Central and Eastern Europe,81,5.291,40.1431,47.5769
Bahrain,Middle East and Northern Africa,42,6.218,26.0667,50.5577
Bangladesh,Southern Asia,110,4.643,23.6849,90.3563
Belarus,Central and Eastern Europe,61,5.802,53.7098,27.9533
Belgium,Western Europe,18,6.929,50.5038,4.4699
Belize,Latin America and Caribbean,52,5.956,17.1898,-88.4976
Benin,Sub-Saharan Africa,153,3.484,9.3076,2.3158
Bhutan,Southern Asia,84,5.196,27.5141,90.4336
Bolivia,Latin America and Caribbean,59,5.822,-16.2901,-63.5886
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,43.9158,17.679
Botswana,Sub-Saharan Africa,137,3.974,-22.3284,24.6848
Brazil,Latin America and Caribbean,17,6.952,-14.235,-51.9252
Bulgaria,Central and Eastern Europe,129,4.217,42.7338,25.4858
Burkina Faso,Sub-Saharan Africa,145,3.739,12.2383,-1.5615
Burundi,Sub-Saharan Africa,157,2.905,-3.373,29.9188
Cambodia,Southeastern Asia,140,3.907,12.5656,104.9909
Cameroon,Sub-Saharan Africa,114,4.513,7.3697,12.3547
Canada,North America,6,7.404,56.1303,-106.346
Chad,Sub-Saharan Africa,144,3.763,15.3611,18.6644
Chile,Latin America and Caribbean,24,6.705,-35.6751,-71.5429
China,Eastern Asia,83,5.245,35.8616,104.1953
Colombia,Latin America and Caribbean,31,6.481,4.5708,-74.2973
Comoros,Sub-Saharan Africa,138,3.956,-12.2125,44.3718
Congo (Brazzaville),Sub-Saharan Africa,127,4.236,-0.228,15.8276
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,-4.0383,21.7586
Costa Rica,Latin America and Caribbean,14,7.087,9.7489,-83.7534
Croatia,Central and Eastern Europe,74,5.488,45.1,15.2
Cyprus,Western Europe,69,5.546,34.7713,33.0864
Czech Republic,Central and Eastern Europe,27,6.596,49.8174,15.4729
Denmark,Western Europe,1,7.526,56.2639,9.5017
Dominican Republic,Latin America and Caribbean,89,5.155,18.7356,-70.1626
Ecuador,Latin America and Caribbean,51,5.976,-1.8312,-78.183
Egypt,Middle East and Northern Africa,120,4.362,26.8205,30.8024
El Salvador,Latin America and Caribbean,46,6.068,13.7941,-88.8965
Estonia,Central and Eastern Europe,72,5.517,58.5952,25.0136
Ethiopia,Sub-Saharan Africa,115,4.508,9.145,40.4896
Finland,Western Europe,5,7.413,61.9241,25.7481
France,Western Europe,32,6.478,46.2276,2.2137
Gabon,Sub-Saharan Africa,134,4.121,-0.8036,11.6094
Georgia,Central and Eastern Europe,126,4.252,32.1656,-82.9007
Germany,Western Europe,16,6.994,51.1656,10.4515
Ghana,Sub-Saharan Africa,124,4.276,7.9465,-1.0231
Greece,Western Europe,99,5.033,39.0742,21.8243
Guatemala,Latin America and Caribbean,39,6.324,15.7834,-90.2307
Guinea,Sub-Saharan Africa,151,3.607,9.9455,-9.6966
Haiti,Latin America and Caribbean,136,4.028,18.971187,-72.2852
Honduras,Latin America and Caribbean,104,4.871,15.1999,-86.2419
Hong Kong,Eastern Asia,75,5.458,22.3964,114.1094
Hungary,Central and Eastern Europe,91,5.145,47.1624,19.5033
Iceland,Western Europe,3,7.501,64.963,-19.0208
India,Southern Asia,118,4.404,20.5936,78.9628
Indonesia,Southeastern Asia,79,5.314,-0.7892,113.9513
Iran,Middle East and Northern Africa,105,4.813,32.4279,53.688
Iraq,Middle East and Northern Africa,112,4.575,33.2231,43.6729
Ireland,Western Europe,19,6.907,53.1423,-7.692
Israel,Middle East and Northern Africa,11,7.267,31.046,34.8516
Italy,Western Europe,50,5.977,41.8719,12.5673
Ivory Coast,Sub-Saharan Africa,139,3.916,7.5399,-5.547
Jamaica,Latin America and Caribbean,73,5.51,18.1095,-77.2975
Japan,Eastern Asia,53,5.921,36.2048,138.2529
Jordan,Middle East and Northern Africa,80,5.303,31.0101,36.43
Kazakhstan,Central and Eastern Europe,54,5.919,48.0195,66.9236
Kenya,Sub-Saharan Africa,122,4.356,-0.0235,37.9061
Kosovo,Central and Eastern Europe,77,5.401,42.6026,20.9029
Kuwait,Middle East and Northern Africa,41,6.239,29.3116,47.4817
Kyrgyzstan,Central and Eastern Europe,85,5.185,41.2043,74.766
Laos,Southeastern Asia,102,4.876,36.1075,120.4688
Latvia,Central and Eastern Europe,68,5.56,56.8796,24.6031
Lebanon,Middle East and Northern Africa,93,5.129,33.8547,35.8622
Liberia,Sub-Saharan Africa,150,3.622,6.428,-9.4294
Libya,Middle East and Northern Africa,67,5.615,26.3351,17.2283
Lithuania,Central and Eastern Europe,60,5.813,55.1694,23.8812
Luxembourg,Western Europe,20,6.871,49.8152,6.1295
Macedonia,Central and Eastern Europe,95,5.121,41.6086,21.7452
Madagascar,Sub-Saharan Africa,148,3.695,-18.7669,46.8691
Malawi,Sub-Saharan Africa,132,4.156,-13.2543,34.3015
Malaysia,Southeastern Asia,47,6.005,4.2104,101.9757
Mali,Sub-Saharan Africa,135,4.073,17.5706,-3.9961
Malta,Western Europe,30,6.488,35.9374,14.3754
Mauritania,Sub-Saharan Africa,130,4.201,21.0078,-10.9408
Mauritius,Sub-Saharan Africa,66,5.648,-20.3484,57.5521
Mexico,Latin America and Caribbean,21,6.778,23.6345,-102.5527
Moldova,Central and Eastern Europe,55,5.897,47.4116,28.3698
Mongolia,Eastern Asia,101,4.907,46.8624,103.8466
Montenegro,Central and Eastern Europe,88,5.161,42.7086,19.3743
Morocco,Middle East and Northern Africa,90,5.151,31.7917,-7.0926
Myanmar,Southeastern Asia,119,4.395,21.9162,95.9559
Namibia,Sub-Saharan Africa,113,4.574,-22.9576,18.4904
Nepal,Southern Asia,107,4.793,28.3948,84.124
Netherlands,Western Europe,7,7.339,52.1326,5.2912
New Zealand,Australia and New Zealand,8,7.334,-41.7523,173.438
Nicaragua,Latin America and Caribbean,48,5.992,12.8654,-85.2072
Niger,Sub-Saharan Africa,142,3.856,17.6077,8.0816
Nigeria,Sub-Saharan Africa,103,4.875,9.0819,8.6752
North Cyprus,Western Europe,62,5.771,35.248,33.6577
Norway,Western Europe,4,7.498,59.9138,10.7522
Pakistan,Southern Asia,92,5.132,30.3753,69.3451
Palestinian Territories,Middle East and Northern Africa,108,4.754,31.9521,35.2331
Panama,Latin America and Caribbean,25,6.701,8.5379,-80.7821
Paraguay,Latin America and Caribbean,70,5.538,-23.4425,-58.4438
Peru,Latin America and Caribbean,64,5.743,-9.1899,-75.0151
Philippines,Southeastern Asia,82,5.279,14.5995,120.984
Poland,Central and Eastern Europe,57,5.835,51.9194,19.1451
Portugal,Western Europe,94,5.123,39.3998,-8.2244
Puerto Rico,Latin America and Caribbean,15,7.039,18.1984,-66.2497
Qatar,Middle East and Northern Africa,36,6.375,25.3648,51.1838
Romania,Central and Eastern Europe,71,5.528,45.9431,24.9667
Russia,Central and Eastern Europe,56,5.856,61.524,105.3187
Rwanda,Sub-Saharan Africa,152,3.515,-1.9402,29.8738
Saudi Arabia,Middle East and Northern Africa,34,6.379,23.8859,45.0791
Senegal,Sub-Saharan Africa,128,4.219,14.4974,-14.4523
Serbia,Central and Eastern Europe,86,5.177,44.0165,21.0058
Sierra Leone,Sub-Saharan Africa,111,4.635,8.4605,-11.7798
Singapore,Southeastern Asia,22,6.739,1.352,103.8198
Slovakia,Central and Eastern Europe,45,6.078,48.669,19.699
Slovenia,Central and Eastern Europe,63,5.768,46.1512,14.9954
Somalia,Sub-Saharan Africa,76,5.44,5.1521,46.1996
Somaliland Region,Sub-Saharan Africa,97,5.057,5.7863,47.3258
South Africa,Sub-Saharan Africa,116,4.459,-30.5594,22.9375
South Korea,Eastern Asia,57,5.835,35.9077,127.7669
South Sudan,Sub-Saharan Africa,143,3.832,6.8769,31.3069
Spain,Western Europe,37,6.361,40.4636,-3.7492
Sri Lanka,Southern Asia,117,4.415,7.873,80.7717
Sudan,Sub-Saharan Africa,133,4.139,12.8628,30.2176
Suriname,Latin America and Caribbean,40,6.269,3.1993,-56.0277
Sweden,Western Europe,10,7.291,60.1281,18.6435
Switzerland,Western Europe,2,7.509,46.8181,8.2275
Syria,Middle East and Northern Africa,156,3.069,34.802,38.9968
Taiwan,Eastern Asia,34,6.379,23.6978,120.9605
Tajikistan,Central and Eastern Europe,100,4.996,38.861,71.276
Tanzania,Sub-Saharan Africa,149,3.666,-6.369,34.8888
Thailand,Southeastern Asia,33,6.474,15.87,100.9925
Togo,Sub-Saharan Africa,155,3.303,8.6195,0.8247
Trinidad and Tobago,Latin America and Caribbean,43,6.168,10.6918,-61.2225
Tunisia,Middle East and Northern Africa,98,5.045,33.8869,9.5374
Turkey,Middle East and Northern Africa,78,5.389,38.9637,35.2433
Turkmenistan,Central and Eastern Europe,65,5.658,38.9697,59.5562
Uganda,Sub-Saharan Africa,145,3.739,1.3733,32.2902
Ukraine,Central and Eastern Europe,123,4.324,48.3794,31.1655
United Arab Emirates,Middle East and Northern Africa,28,6.573,23.424,53.8478
United Kingdom,Western Europe,23,6.725,55.378,-9.4359
United States,North America,13,7.104,37.0902,-95.7128
Uruguay,Latin America and Caribbean,29,6.545,-32.5227,-55.7658
Uzbekistan,Central and Eastern Europe,49,5.987,41.3774,64.5852
Venezuela,Latin America and Caribbean,44,6.084,6.4237,-66.5897
Vietnam,Southeastern Asia,96,5.061,14.0583,108.2771
Yemen,Middle East and Northern Africa,147,3.724,15.5527,48.5163
Zambia,Sub-Saharan Africa,106,4.795,-13.1338,27.8493
Zimbabwe,Sub-Saharan Africa,131,4.193,-19.0154,29.1548
