Country,Region,Rank,Score,Latitude,Longitud,DispRegion,DispRegion2
Afghanistan,Southern Asia,141,3.79399991,33.9391,67.7099,Asia,3
Albania,Central and Eastern Europe,109,4.644000053,41.1533,20.1683,Europe,4
Algeria,Middle East and Northern Africa,53,5.872000217,28.0338,1.6596,Africa,1
Angola,Sub-Saharan Africa,140,3.795000076,-11.2026,17.8738,Africa,1
Argentina,Latin America and Caribbean,24,6.598999977,-38.416,-63.6166,Americas,2
Armenia,Central and Eastern Europe,121,4.375999928,40.069,45.0381,Europe,4
Australia,Australia and New Zealand,10,7.28399992,-25.2743,133.7751,Asia,3
Austria,Western Europe,13,7.006000042,47.5162,14.55,Europe,4
Azerbaijan,Central and Eastern Europe,85,5.234000206,40.1431,47.5769,Europe,4
Bahrain,Middle East and Northern Africa,41,6.086999893,26.0667,50.5577,Africa,1
Bangladesh,Southern Asia,110,4.607999802,23.6849,90.3563,Asia,3
Belarus,Central and Eastern Europe,67,5.568999767,53.7098,27.9533,Europe,4
Belgium,Western Europe,17,6.890999794,50.5038,4.4699,Europe,4
Belize,Latin America and Caribbean,50,5.955999851,17.1898,-88.4976,Americas,2
Benin,Sub-Saharan Africa,143,3.657000065,9.3076,2.3158,Africa,1
Bhutan,Southern Asia,97,5.011000156,27.5141,90.4336,Asia,3
Bolivia,Latin America and Caribbean,58,5.822999954,-16.2901,-63.5886,Americas,2
Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016,43.9158,17.679,Europe,4
Botswana,Sub-Saharan Africa,142,3.766000032,-22.3284,24.6848,Africa,1
Brazil,Latin America and Caribbean,22,6.635000229,-14.235,-51.9252,Americas,2
Bulgaria,Central and Eastern Europe,105,4.714000225,42.7338,25.4858,Europe,4
Burkina Faso,Sub-Saharan Africa,134,4.032000065,12.2383,-1.5615,Africa,1
Burundi,Sub-Saharan Africa,154,2.904999971,-3.373,29.9188,Africa,1
Cambodia,Southeastern Asia,129,4.168000221,12.5656,104.9909,Asia,3
Cameroon,Sub-Saharan Africa,107,4.695000172,7.3697,12.3547,Africa,1
Canada,North America,7,7.315999985,56.1303,-106.346,Americas,2
Central African Republic,Central Africa,155,2.693000078,6.6111,20.9394,Africa,1
Chad,Sub-Saharan Africa,137,3.936000109,15.4541,18.7322,Africa,1
Chile,Latin America and Caribbean,20,6.65199995,-35.6751,-71.5429,Americas,2
China,Eastern Asia,79,5.272999763,35.8616,104.1953,Asia,3
Colombia,Latin America and Caribbean,36,6.356999874,4.5708,-74.2973,Americas,2
Congo (Brazzaville),Sub-Saharan Africa,124,4.290999889,-0.228,15.8276,Africa,1
Congo (Kinshasa),Sub-Saharan Africa,126,4.28000021,-4.0383,21.7586,Africa,1
Costa Rica,Latin America and Caribbean,12,7.078999996,9.7489,-83.7534,Americas,2
Croatia,Central and Eastern Europe,77,5.293000221,45.1,15.2,Europe,4
Cyprus,Western Europe,65,5.620999813,34.7713,33.0864,Europe,4
Czech Republic,Central and Eastern Europe,23,6.609000206,49.8174,15.4729,Europe,4
Denmark,Western Europe,2,7.521999836,56.2639,9.5017,Europe,4
Dominican Republic,Latin America and Caribbean,86,5.230000019,18.7356,-70.1626,Americas,2
Ecuador,Latin America and Caribbean,44,6.007999897,-1.8312,-78.183,Americas,2
Egypt,Middle East and Northern Africa,104,4.735000134,26.8205,30.8024,Africa,1
El Salvador,Latin America and Caribbean,45,6.002999783,13.7941,-88.8965,Americas,2
Estonia,Central and Eastern Europe,66,5.611000061,58.5952,25.0136,Europe,4
Ethiopia,Sub-Saharan Africa,119,4.460000038,9.145,40.4896,Africa,1
Finland,Western Europe,5,7.468999863,61.9241,25.7481,Europe,4
France,Western Europe,31,6.441999912,46.2276,2.2137,Europe,4
Gabon,Sub-Saharan Africa,118,4.465000153,-0.8036,11.6094,Africa,1
Georgia,Central and Eastern Europe,125,4.285999775,32.1656,-82.9007,Europe,4
Germany,Western Europe,16,6.951000214,51.1656,10.4515,Europe,4
Ghana,Sub-Saharan Africa,131,4.119999886,7.9465,-1.0231,Africa,1
Greece,Western Europe,87,5.227000237,39.0742,21.8243,Europe,4
Guatemala,Latin America and Caribbean,29,6.453999996,15.7834,-90.2307,Americas,2
Guinea,Sub-Saharan Africa,149,3.506999969,9.9455,-9.6966,Africa,1
Haiti,Latin America and Caribbean,145,3.602999926,18.971187,-72.2852,Americas,2
Honduras,Latin America and Caribbean,91,5.181000233,15.1999,-86.2419,Americas,2
"Hong Kong S.A.R., China",Eastern Asia,71,5.472000122,22.3964,114.1094,Asia,3
Hungary,Central and Eastern Europe,75,5.323999882,47.1624,19.5033,Europe,4
Iceland,Western Europe,3,7.504000187,64.963,-19.0208,Europe,4
India,Southern Asia,122,4.315000057,20.5936,78.9628,Asia,3
Indonesia,Southeastern Asia,81,5.262000084,-0.7892,113.9513,Asia,3
Iran,Middle East and Northern Africa,108,4.691999912,32.4279,53.688,Africa,1
Iraq,Middle East and Northern Africa,117,4.497000217,33.2231,43.6729,Africa,1
Ireland,Western Europe,15,6.977000237,53.1423,-7.692,Europe,4
Israel,Middle East and Northern Africa,11,7.212999821,31.046,34.8516,Africa,1
Italy,Western Europe,48,5.964000225,41.8719,12.5673,Europe,4
Ivory Coast,Sub-Saharan Africa,128,4.179999828,7.5399,-5.547,Africa,1
Jamaica,Latin America and Caribbean,76,5.31099987,18.1095,-77.2975,Americas,2
Japan,Eastern Asia,51,5.920000076,36.2048,138.2529,Asia,3
Jordan,Middle East and Northern Africa,74,5.335999966,31.0101,36.43,Africa,1
Kazakhstan,Central and Eastern Europe,60,5.818999767,48.0195,66.9236,Europe,4
Kenya,Sub-Saharan Africa,112,4.552999973,-0.0235,37.9061,Africa,1
Kosovo,Central and Eastern Europe,78,5.278999805,42.6026,20.9029,Europe,4
Kuwait,Middle East and Northern Africa,39,6.105000019,29.3116,47.4817,Africa,1
Kyrgyzstan,Central and Eastern Europe,98,5.004000187,41.2043,74.766,Europe,4
Latvia,Central and Eastern Europe,54,5.849999905,56.8796,24.6031,Europe,4
Lebanon,Middle East and Northern Africa,88,5.224999905,33.8547,35.8622,Africa,1
Lesotho,Middle East and Northern Africa,139,3.808000088,-29.6099,28.2336,Africa,1
Liberia,Sub-Saharan Africa,148,3.532999992,6.428,-9.4294,Africa,1
Libya,Middle East and Northern Africa,68,5.525000095,26.3351,17.2283,Africa,1
Lithuania,Central and Eastern Europe,52,5.90199995,55.1694,23.8812,Europe,4
Luxembourg,Western Europe,18,6.862999916,49.8152,6.1295,Europe,4
Macedonia,Central and Eastern Europe,92,5.175000191,41.6086,21.7452,Europe,4
Madagascar,Sub-Saharan Africa,144,3.644000053,-18.7669,46.8691,Africa,1
Malawi,Sub-Saharan Africa,136,3.970000029,-13.2543,34.3015,Africa,1
Malaysia,Southeastern Asia,42,6.084000111,4.2104,101.9757,Asia,3
Mali,Sub-Saharan Africa,127,4.190000057,17.5706,-3.9961,Africa,1
Malta,Western Europe,27,6.52699995,35.9374,14.3754,Europe,4
Mauritania,Sub-Saharan Africa,123,4.291999817,21.0078,-10.9408,Africa,1
Mauritius,Sub-Saharan Africa,64,5.629000187,-20.3484,57.5521,Africa,1
Mexico,Latin America and Caribbean,25,6.578000069,23.6345,-102.5527,Americas,2
Moldova,Central and Eastern Europe,56,5.837999821,47.4116,28.3698,Europe,4
Mongolia,Eastern Asia,100,4.954999924,46.8624,103.8466,Asia,3
Montenegro,Central and Eastern Europe,83,5.236999989,42.7086,19.3743,Europe,4
Morocco,Middle East and Northern Africa,84,5.235000134,31.7917,-7.0926,Africa,1
Mozambique,Sub-Saharan Africa,113,4.550000191,-18.6656,35.5295,Africa,1
Myanmar,Southeastern Asia,114,4.545000076,21.9162,95.9559,Asia,3
Namibia,Sub-Saharan Africa,111,4.573999882,-22.9576,18.4904,Africa,1
Nepal,Southern Asia,99,4.961999893,28.3948,84.124,Asia,3
Netherlands,Western Europe,6,7.376999855,52.1326,5.2912,Europe,4
New Zealand,Australia and New Zealand,8,7.31400013,-41.7523,173.438,Asia,3
Nicaragua,Latin America and Caribbean,43,6.071000099,12.8654,-85.2072,Americas,2
Niger,Sub-Saharan Africa,135,4.027999878,17.6077,8.0816,Africa,1
Nigeria,Sub-Saharan Africa,95,5.073999882,9.0819,8.6752,Africa,1
North Cyprus,Western Europe,61,5.809999943,35.248,33.6577,Europe,4
Norway,Western Europe,1,7.537000179,59.913869,10.752245,Europe,4
Pakistan,Southern Asia,80,5.269000053,30.3753,69.3451,Asia,3
Palestinian Territories,Middle East and Northern Africa,103,4.775000095,31.9521,35.2331,Africa,1
Panama,Latin America and Caribbean,30,6.452000141,8.5379,-80.7821,Americas,2
Paraguay,Latin America and Caribbean,70,5.493000031,-23.4425,-58.4438,Americas,2
Peru,Latin America and Caribbean,63,5.715000153,-9.1899,-75.0151,Americas,2
Philippines,Southeastern Asia,72,5.429999828,14.5995,120.984,Asia,3
Poland,Central and Eastern Europe,46,5.97300005,51.9194,19.1451,Europe,4
Portugal,Western Europe,89,5.195000172,39.3998,-8.2244,Europe,4
Qatar,Middle East and Northern Africa,35,6.375,25.3648,51.1838,Africa,1
Romania,Central and Eastern Europe,57,5.824999809,45.9431,24.9667,Europe,4
